Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,"Площадь, га",Идентификатор
4 этап (утверждение документации ППТ),"Территория, ограниченная Наличной ул., Уральской ул., перспективным продолжением пр. Кима",Василеостровский,1006,2010-07-27,"4,7",8BA3F92E-882C-4F6F-98F1-16DAC8312858
4 этап (утверждение документации ППТ),Кварталов 28 и 28А Юго-Западной Приморской части (участок 3 и 4 северо-западнее пересечения ул. Доблести и ул. Маршала Захарова),Красносельский,1282,2010-09-23,"30,1",51A0153F-3CE2-4EFF-A172-174FCBC921E2
4 этап (утверждение документации ППТ),"Территория Приморской Юго-западной части (ЮЗПЧ) Санкт-Петербурга, западнее магистрали N 8",Красносельский,12,2007-01-16,"156,8",B29B3DFD-3BE6-4C7A-8FE8-17805553708F
4 этап (утверждение документации ППТ),"Территории, ограниченной Левашовским пр., Большой Зелениной ул., Барочной ул. И Песочной наб.",Петроградский,1005,2007-08-14,"4,5",1F6278EA-9F83-45C2-B436-17AEE6E19328
4 этап (утверждение документации ППТ),"Территория, ограниченная Стрельнинским шоссе, Геологической ул. И охранной зоной газораспределительной сети",Красносельский,214,2008-02-26,"13,6",49DEBD05-8740-4EDD-A3C5-18A0D6394842
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Энергетиков, пр. Маршала Блюхера, Салтыковской дор., ул. Стасовой",Красногвардейский,1077,2009-09-22,"16,9",FF0B1D3E-B685-4C29-9096-18B05C9108FF
4 этап (утверждение документации ППТ),Территория для объекта «Реконструкция производственного корпуса депо Металлострой с удлинением железнодорожных путей»,Колпинский,ЭБ-439-р,2020-12-16,"76,3",1258BCF5-9114-49C4-A498-18F2FFD62A77
4 этап (утверждение документации ППТ),"Территория, ограниченная Лагерным шоссе, Южной ул., проектируемыми проездами",Колпинский,1259,2011-08-17,"34,2",DF692B7B-E147-4D3B-AAF7-191B39DBE198
4 этап (утверждение документации ППТ),"Территория, ограниченная Дивенской ул., Певческим пер., Б. Посадской ул., М. Монетной ул.",Петроградский,1135,2010-08-26,"2,6",EBF5B12B-2BF8-4CAA-B14F-192C9C44D08F
4 этап (утверждение документации ППТ),"Территория производственной зоны «Красносельская», ограниченной Геологической ул., Гаражной ул., ул. Голубко, ул. Юных Пионеров, Огородной ул.,ул. Спирина, Кингисеппским шоссе и адм. Границей СПб",Красносельский,1474,2007-11-13,"395,6",C7DB0E3F-8191-4DA7-BD41-19F3D0FB143B
