Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,"Площадь, га",Идентификатор
4 этап (утверждение документации ППТ),"Территория в западной части Пушкина, ограниченная Петербургским шоссе, Варшавским направлением Окт. Ж.д., проектируемой улицей № 1, соединяющей Петербургское шоссе с продолжением Ленинградского шоссе (участок № 21)",Пушкинский,711,2006-06-07,"203,6",5A1F022A-3614-44D9-9F5C-DE43074AF3B2
4 этап (утверждение документации ППТ),"Территория, ограниченная Пляжевой ул., 2-ой Пляжевой ул., 4-ой Пляжевой ул., береговой линией Финского залива",Курортный,1208,2010-09-07,"8,3",DCA08DBA-5484-46C8-B19B-DFE41DD71DBC
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Реконструкция Оборонной ул. От Заводского пр. До Лагерного шоссе со строительством моста через Ижорский пруд и путепровода через железнодорожные пути Московского направления»,Колпинский,949,2016-10-24,"52,4",1D5DDBC4-849E-4D29-9F93-DFFD5A3B45A7
4 этап (утверждение документации ППТ),"Территория, ограниченная Приозерским направлением ж.д., административной границей Санкт-Петербурга, береговой линией Муринского ручья",Красногвардейский,133,2014-03-11,"242,62",92EEF0D1-9C9A-4346-AD28-E044DC2323EA
4 этап (утверждение документации ППТ),"Территория,ограниченная пр. Александровской Фермы,проектируемым проездом,Тихой ул.,проектируемым проездом, в Невском районе",Невский,1155,2014-12-18,"9,3",4E20B7FD-7B46-4F30-A875-E0AC7EB874B8
4 этап (утверждение документации ППТ),"Территория квартала 10 г. Колпино, ограниченного пр. Ленина. Ул.Губина, Павловской ул., ул.Танкистов",Колпинский,1006,2011-07-13,"10,7",552EFDE7-40DF-4950-9DDD-E13D0EA430E7
4 этап (утверждение документации ППТ),"Территория, ограниченная Коломяжским пр.,проектируемым проездом №1,проектируемым проездом №2, проспектом Испытателей, проектируемым проездом №3, полосой отвода ж/д",Приморский,928,2014-10-07,"36,6",166CCA93-D929-4551-80FA-E16B79B2A11D
4 этап (утверждение документации ППТ),Территория для размещения объектов федерального значения «КВЛ 220 кВ Южная - Чесменская 1 и 2 цепь (реконструкция захода на ПС 220 кВЧесменская) КВЛ 220 кВ Восточная - Чесменская с отпайкой на ПС Южная (реконструкция захода на ПС 220 кВ Чесменская) ВЛ 220 кВ Южная - Чесменская № 1 (Л-217) ВЛ 220 кВ Южная - Чесменская № 2 (Л-218) ВЛ 220 кВ Восточная - Чесменская (Л-206)»,Красногвардейский,269,2018-04-12,"51,7",6A3723D5-2C47-4261-9992-E1C3A687D843
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Планерная ул. От Глухарской ул. До р.Каменка»,Приморский,436,2021-06-29,11,2FCD443C-0B02-4AA6-B729-E1D7CF6DF803
4 этап (утверждение документации ППТ),"Территория,ограниченная ул. Александра Товпеко, Новой ул., Волховстроевской ул., Фанерной ул., в пос. Понтонный",Колпинский,1167,2012-10-30,"16,5",FBE17864-DEBB-4821-A261-E2024240BFC1
4 этап (утверждение документации ППТ),"Квартал, ограниченный пр. Науки, ул. Карпинского, ул. Верности, ул. Бутлерова",Калининский,226,2009-02-24,"49,1",35ACBAF8-9AA8-478D-893C-E23F9A481602
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Шкапина, ул. Розенштейна, наб. Обводного канала и ж/д веткой",Адмиралтейский,611,2011-05-17,"14,2",A07DE313-EAC7-4416-BC17-E33A099798F6
4 этап (утверждение документации ППТ),"Территория, ограниченная Парашютной ул., Плесецкой ул., пр. Королёва, береговой линией р. Каменки, в Приморском районе",Приморский,591,2022-06-30,"25,8",4D98E4A5-0948-4829-BE6C-E37887A69BB6
4 этап (утверждение документации ППТ),"Квартал 5 Б района БКА, ограниченная пр. Испытателей, Коломяжским пр., Богатырским пр. И Серебристым бульваром",Приморский,249,2008-03-04,"42,6",FAAF7B2A-1D3B-449B-A3A4-E4B771799C01
4 этап (утверждение документации ППТ),"Территория, ограниченная дорогой в Угольную гавань, пр. Стачек, ул. Морской пехоты и виадуком трамвайной линии от Кронштадтской ул.",Кировский,1044,2007-08-21,"2,2",868A499F-F196-42C6-9F00-E4E325A65F08
4 этап (утверждение документации ППТ),Прооизводственная зона «Рыбацкое»,Невский,1288,2010-09-23,"374,4",A9E210CA-83FD-4DFA-BE3E-E5649F81BA4D
4 этап (утверждение документации ППТ),"Территория, ограниченная пробивкой пр. Королева,ул. Шаврова, Комендантским пр., Шуваловским пр.",Приморский,514,2010-04-27,"18,9",B9B1A3A9-ED67-408E-A6B1-E5C9DF438BDC
4 этап (утверждение документации ППТ),"Квартал 29 района Шувалово-Озерки, ограниченный ул. Пр. Энгельса, пр. Луначарского, ул. Есенина и ул. Сикейроса",Выборгский,435,2008-04-16,"37,4",1E17E967-DC3E-4D24-A71E-E692C741B86C
4 этап (утверждение документации ППТ),"Территория, ограниченная Герасимовской ул., ул. Замшина, пр. М. Блюхера, Кондратьевским пр.,",Калининский,1223,2014-12-22,"34,9",FC22051F-85EC-48F6-9EE5-E6C389B9DAAD
4 этап (утверждение документации ППТ),"Территория квартала 7-17 Сосновой Поляны, ограниченного пр. Ветеранов, ул. Пограничника Гарькавого, пр. Народного Ополчения, ул. Летчика Пилютова",Красносельский,996,2011-07-13,"37,2",BEF6999C-B002-4FD2-BCEF-E6F31028426E
4 этап (утверждение документации ППТ),"Территория, ограниченная Московским шоссе, границей отвода выскокскоростной магистрали, Колпинским шоссе, границей участка 26 (Колпинский), осью перспективной магистрали",Пушкинский,1078,2009-09-22,"223,9",3DD428CB-8DDE-4F45-B9AE-E703F26B684A
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Курчатова, Политехнической ул., ул. Шателена",Выборгский,810,2009-07-07,"27,6",9D14AF03-F1FA-4FF0-B991-E71A2D194F7A
4 этап (утверждение документации ППТ),"Территория, ограниченная Петергфоским шоссе, проектируемым проездом, береговой линией Финского залива, проектным продолжением ул. Адмирала Исакова",Красносельский,254,2011-03-01,"92,9",F8D3ABB0-14D0-403F-ADB8-E8211283CF39
4 этап (утверждение документации ППТ),Кварталы 29 и 29А Юго-Западной части Санкт-Петербурга (участки 1 и 2 северо-западнее пересечения ул. Доблести и ул. Маршала Захарова),Красносельский,607,2011-05-17,40,377AB169-4A69-4FBE-8B2A-E8567FE30DF0
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Грузовой проезд от 2-го Обуховского проезда до 5-го Обуховского проезда (проектируемого)»,Фрунзенский,45,2022-01-27,"5,1",66C03BB3-7C56-49F1-B693-E86423192457
4 этап (утверждение документации ППТ),"Территория, ограниченная 1-м Муринским пр., линией отвода ж.д., ул.Капитана Воронина, Большим Сампсониевским пр.",Выборгский,1190,2014-12-18,"4,8",ECBD55FB-4A00-4AFB-AB04-E866C523650F
4 этап (утверждение документации ППТ),"Квартал 21А, ограниченный пр. Маршала Блюхера, перспективным продолжением Арсенальной улицы",Калининский,124,2007-02-06,3,1687E8DB-8888-4847-B149-E8BEB222B740
4 этап (утверждение документации ППТ),"Территория кварталов 18 и 18а района Лиговского пр., ограниченная Лиговским пр., Расстанной ул., Боровой ул. И полосой отвода Октябрьской железной дороги",Фрунзенский,1005,2008-08-12,"11,9",B9CA46B9-70AF-425C-AC58-E9DA3C9FD707
4 этап (утверждение документации ППТ),"Территория, ограниченная Тбилисской ул., Солунской ул., проектируемой улицей, Коломяжским пр., проектируемым проездом, границей территории объекта культурного наследия регионального значения «Удельный парк», ул.Аккуратова, утвержденный постановлением Правительства Санкт-Петербурга от 23.09.2010 № 1285, в части территории, ограниченной Коломяжским пр., Солунской ул., 3-й линией 1-й половины, границей территории объекта культурного наследия регионального значения «Удельный парк», ул. Марка Галлая",Приморский,370,2019-06-04,"17,5",CD145CA9-40B6-403C-8A23-E9DD59247E1D
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Победы, Полигонным пер., проектируемым продолжением Ораниенбаумского пр.. Проектируемой ул. № 1, Михайловской ул.",Петродворцовый,213,2015-02-24,"32,6",A2F55B40-3217-4C58-82F1-EAB5B26DE604
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта: «Комплекс зданий и сооружений ПАО »Газпром« в г. Санкт-Петербурге». Этап 3. Линейно-кабельные сооружения волоконно-оптической линии связи нa участке от объекта »Комплекс зданий и сооружений ПАО « Газпром« в г. СанктПетербурге» до объекта «Северное ЛПУ МГ»,Выборгский,652-пр,2020-10-28,"6,1",1E52AA44-DF35-412D-AF84-EB05A54C8977
4 этап (утверждение документации ППТ),"Территория, ограниченная Народной ул., линией отвода ж.д., административной границей между Санкт-Петербургом и Ленинградской областью",Невский,1661,2010-12-07,"12,9",DE11CCE6-4FB7-4847-9B5A-EB93C6A64497
4 этап (утверждение документации ППТ),"Территория, ограниченная Пляжевой ул., Приморским шоссе, 4-ой Пляжевой ул. И 2-ой Пляжевой ул.",Курортный,1207,2010-09-07,"13,2",4FC6C5A4-8719-4523-9500-EBA6C7AE7F72
4 этап (утверждение документации ППТ),"Территория квартала 6 района Ульянка, ограниченного пр. Ветеранов, Дачным пр., пр. Народного Ополчения, ул. Танкиста Хрустицкого",Кировский,992,2011-07-13,"56,9",29933A65-875D-45E0-B79D-EBA9262815ED
4 этап (утверждение документации ППТ),"Территория, ограниченная Московским шоссе, проездом вдоль железной дороги, границей функциональной зоны «Р2», Пушкинской ул., границей функциональной зоны «Ж5», дорогой Шушары-Пулковское шоссе,в пос. Шушары",Пушкинский,1604,2008-12-16,209,89E87C6B-DCDE-401A-922E-EBBE5DB8C100
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Энергетиков, ул. Стасовой, Салтыковской дорогой, проектируемым проездом",Красногвардейский,335,2009-03-24,"10,2",5014E80E-102A-477D-AE1E-EC0450695085
4 этап (утверждение документации ППТ),"Территория, ограниченная Волхонским шоссе, Пулковским шоссе, береговой линией ручья без названия, береговой линией реки Пулковки, перспективным проездом, административной границей пос. Александровская",Пушкинский,1069,2017-12-19,"222,1",5B79D29E-6B1B-4E3D-A76F-EC4CF4AE76F3
4 этап (утверждение документации ППТ),"Территория, ограниченная пер. Слепушкина ул. Тепловозной продолжением Караваевского пер. Полосой отвода ж.д. Береговой линией р. Славянки,",Невский,145,2015-02-17,"68,5",4EA60CC7-E6C3-41C8-9114-EC61A522DFA4
4 этап (утверждение документации ППТ),"Квартал 28 ЮРВ, огр. Пловдиевской ул, Загребским бульваром, Малой Каштановой ул. И Будапештской ул.",Фрунзенский,236,2007-03-06,"10,4",C279CB05-B020-499F-B17E-ECA0CBF32746
4 этап (утверждение документации ППТ),"Территория, ограниченная Петрозаводским шоссе, Центральной ул., Пионерской ул., Садовой ул., в пос. Металлострой",Колпинский,175,2013-03-22,25,65AAEA43-4286-4FC7-9B2E-ECB02C69CD22
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Транспортная развязка на пересечении Московского шоссе с Дунайским пр»,Московский,178,2022-03-10,"31,7",5FF91CB9-7722-4531-954F-ED40391C8161
4 этап (утверждение документации ППТ),"Территория квартала 9 Западнее Варшавской ЖД, ограниченного Краснопутиловской ул., пл. Конституции, Ленинским пр., Кубинской ул.",Московский,999,2011-07-13,"19,7",CDA5BEFC-000B-4654-922A-ED4989DB2E79
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Воскова, ул. Мосина, наб. Строителей, полосой отвода железной дороги",Курортный,41,2014-01-28,"11,7",027CAC93-8CE0-4F8C-A213-ED61EBD52143
4 этап (утверждение документации ППТ),"Территория для размещения линейного объекта «Строительство кольцевой автомобильной дороги вокруг г. Санкт-Петербург. Реконструкция кольцевой автомобильной дороги вокруг Санкт-Петербурга на участке от ст. Горская до Приозерского шоссе, Ленинградская область» Этап 1. Этап 2",Курортный,2922-р,2016-12-28,659,E9C11D0C-CF99-44E3-8329-ED875C4DE424
4 этап (утверждение документации ППТ),"Территория, ограниченная Рябовским шоссе, Сосновой ул., продолжением Сосновой ул., полосой отвода железной дороги",Красногвардейский,42,2014-01-28,"7,2",6354C47F-70D6-4139-BC6A-ED97A8EFAB46
4 этап (утверждение документации ППТ),"Территория квартала 6 района Ульянка, ограниченного пр. Ветеранов, Дачным пр., пр. Народного Ополчения, ул. Танкиста Хрустицкого",Кировский,993,2011-07-13,"56,9",7F5666ED-C25A-4E35-A78E-EE18D227BD04
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Приморское шоссе. Подключение делового квартала «Лахта центр»,Приморский,90,2022-02-09,"7,6",0A7EAC91-6896-4B73-805A-EE336E2B9C2F
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Евдокима Огнева, Дальневосточным пр., ул. Крыленко и Искровским пр.",Невский,1616,2007-12-11,"11,9",BF8139A1-F3C2-487F-8204-EE68832982B9
4 этап (утверждение документации ППТ),"Территория для создания искусственного земельного участка, на котором предусмотрено размещение объектов капитального строительства и объектов технологической инфраструктуры реконструируемого морского топливного терминала «Турухтанные острова» в акватории",Кировский,АД-364-р,2014-09-22,"8,8",5CEFAA7A-EE41-4D34-84FF-EE7D504BEC07
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Буденного, линией ЛЭП 330 кВ, перспективным продолжением пр. Ветеранов",Петродворцовый,834,2019-11-29,"42,5",EA0D6B75-BCAD-41B5-9C65-EE8B720D4AC8
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Шкапина, ул. Розенштейна, наб. Обводного кан. И проектируемой магистралью, в Адмиралтейском районе, утвержденный постановлением Правительства Санкт-Петербурга от 13.02.2007 № 153 (с изменениями от 17.05.2011)",Адмиралтейский,830,2019-11-29,"9,7",728A9259-E0E1-4C2F-9F27-EF5840E91724
4 этап (утверждение документации ППТ),"Территория, ограниченная Рябовским шоссе, полосой отвода Октябрьской ЖД, перспективным проездом, Камышинской ул., Беломорской ул.",Красногвардейский,1011,2011-07-13,"26,9",D9B55579-6729-408F-B430-EFAEA744D692
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Охтинский тоннельный канализационный коллектор (1этап)»,Красногвардейский,1065,2017-12-19,"37,4",A0A557C6-49A9-44A8-B3F7-F0A22F82AE3D
4 этап (утверждение документации ППТ),"Квартал 55 района Пороховые, ограниченный береговой линией р. Б.Охта, проектным продолжением пр. Ударников, ул. Передовиков, проектным продолжением пр. Энтузиастов",Красногвардейский,44,2011-01-18,"15,2",5CCA0C3C-D6E3-415D-A4B6-F0DBF06AFACE
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Транспортный обход города Красное Село»,Красносельский,326,2020-05-25,"73,4",282D8136-B3D6-495E-BBE3-F0F7471E853B
4 этап (утверждение документации ППТ),"Территория, ограниченная Благодатной ул, Варшавской ул, ул.№24, перспективной пробивкой Измайловского пр.",Московский,691,2014-07-30,10,AF1A452E-F08A-4F70-BBD7-F0F74CCFC1FB
4 этап (утверждение документации ППТ),"Территория прохождения южн. Части ЗСД, огран. Пр. Маршала Говорова, границей тер зоны ТУ, соед. Веткой ЖД, Кубинской ул., проект. Проездом, КАД, линией жд, вост. И сев. Границами зу (78:15:8235Б:4, 78:15:8235Б:13, 78:15:8235Б:10, 78:15:8235Б:11, 78:15:82",Кировский,983,2011-07-13,"173,6",6412E8CE-3327-4CAD-9FD7-F13C78C50C08
4 этап (утверждение документации ППТ),"Территория, ограниченная Красносельским шоссе, береговой линией ручья Стрелка, проектируемым проездом, пр. Буденного, линией ЛЭП 330 кВ",Петродворцовый,833,2019-11-29,"60,2",5C1A0B54-4CCE-4B5C-9168-F142B21A1665
4 этап (утверждение документации ППТ),"Территория, ограниченная Ленинградской ул., административной границей между Курортным и Выборгским районами Санкт-Петербурга, проектируемой улицей, проектируемым проездом, проектируемой магистралью",Курортный,302,2010-03-23,"6,4",45C04C02-EF7E-4C60-A334-F16EC15061BC
4 этап (утверждение документации ППТ),"Территория, ограниченная Северным пр.,ул.Вавиловых,ул. Академика Байкова,Светлановским пр.",Калининский,528,2013-07-23,"15,6",F04CC5AD-9D66-4D67-9F05-F1878B57C303
4 этап (утверждение документации ППТ),"Территория квартала 7-17 Сосновой Поляны, ограниченного пр. Ветеранов, ул. Пограничника Гарькавого, пр. Народного Ополчения, ул. Летчика Пилютова",Красносельский,997,2011-07-13,"37,2",B8284FD6-3726-4EC0-B837-F20ADD7BE2E9
4 этап (утверждение документации ППТ),"Территория, ограниченная Заводским пр., западной границей земельного участка по адресу: Заводской пр., д. 17, литера А, административной границей Колпинского района, продолжением ул. Машиностроителей",Колпинский,692,2013-09-10,2,5A666E87-D237-456F-A2BB-F244848FD06B
4 этап (утверждение документации ППТ),"Территория, ограниченная Фаянсовой ул., Хрустальной ул., ул.Книпович, ул.2-й Луч",Невский,202,2014-03-25,"3,8",0E0A377E-E156-49CE-98B0-F2C1C5E7EC08
4 этап (утверждение документации ППТ),"Внесение изменений в ППиПМ территории, ограниченной пр. Науки, Приозерским направлением ж/д, Пискаревским пр., ул. Руставели, утвержденный постановлением Правительства Санкт-Петербурга от 16.04.2008 № 433",Калининский,437,2016-06-07,"24,6",FB19C2A2-2896-4E9B-92E0-F324A3AC7724
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Хошимина, пр. Просвещения, пр. Энгельса, ул. Асафьева, ул. Композиторов",Выборгский,1266,2011-08-17,"45,7",126F92F3-4DCC-4EE4-BF3D-F3A30BB73B9F
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Энтузиастов, Индустриальным пр., пр. Косыгина, ул. Передовиков",Красногвардейский,1273,2011-08-17,"24,6",0E3BE443-B0A4-4387-A204-F3D8C69BB151
4 этап (утверждение документации ППТ),"Территория, ограниченная Карпатской ул., перспективной пробивкой Балканской ул., Софийской ул., Грузовым проездом",Фрунзенский,1007,2008-08-12,"54,1",A62F9CAE-4C94-4DA7-A356-F415FE2A9AB8
4 этап (утверждение документации ППТ),"Квартал 59Б Северо-Приморской части, огр. Лыжным пер, Мебельной ул. И Шуваловским пр.",Приморский,1339,2005-09-06,"28,7",7EA7CB10-D2FE-4A48-99C3-F5A9E20152CF
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Ильюшина, Гаккелевской ул., Камышовой ул., Стародеревенской ул.",Приморский,1003,2010-07-27,"13,2",087DD1F2-43EC-43F9-8B95-F60DE3E7745B
4 этап (утверждение документации ППТ),"Квартал 12А ВВЖД, ограниченного ул.Белы Куна, Бухарестской ул. И ул. Турку (станция метрополитена «Международная»)",Фрунзенский,1613,2007-12-11,9,8E5D138D-F92F-4966-B673-F66BF1AF3CBA
4 этап (утверждение документации ППТ),"Квартала 3 н/з «Ручьи», ограниченного Пискаревским направлением ж.д.,Пискаревским пр., проездом от населенного пункта Ручьи на юго-восток, проездом западнее крематория и Шафировским пр.",Красногвардейский,896,2008-07-22,"77,1",A5A922F9-1F8E-4F52-982E-F685F312AF32
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Зотовский пр. От земельного участка с кадастровым номером 78:11:0006124:10 до Волго-Донского пр»,Красногвардейский,973,2021-12-13,"0,6",5C0BCB5F-B604-4FC8-AB28-F6B171C95BD8
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Топливозаправочный комплекс в аэропорту «Пулково» г.Санкт-Петербург»,Московский,811,2019-11-22,"23,9",3D06C59F-EA73-4BE5-8DE1-F72118D97959
4 этап (утверждение документации ППТ),"Санкт-Петербург, территория, ограниченная Кушелевской дор., пр. Непокоренных, продолжением ул. Бутлерова, полосой отвода железной дороги",Калининский,99,2016-02-16,"23,2",38700F68-722B-45F8-8292-F742C681EC62
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Автомобильная дорога М-11 «Нарва» от ж.д. Станции Лигово до г. Красное Село в административных границах Санкт-Петербурга. 2-й этап. Реконструкция Лиговского путепровода»,Красносельский,272,2022-03-30,"19,9",31381240-027C-41F7-AEF5-F793559BF59A
4 этап (утверждение документации ППТ),"Территория, ограниченная Мурзинской ул., Караваевской ул., ул. Юннатов и отводом Окт. Ж.д.",Невский,213,2008-02-26,"15,5",6722307E-BA85-4EAC-BBAD-F7FDE50527FA
4 этап (утверждение документации ППТ),"Территория, ограниченная Выборгским шоссе, ул. Ломоносова и дорогой на Каменку",Выборгский,211,2008-02-26,"82,2",97E22016-A43F-4790-834A-F881836A3CA1
4 этап (утверждение документации ППТ),"Территория, ограниченная ул.Джона Рида, пр.Пятилеток, Клочковым пер., ул.Коллонтай, ул.Бадаева",Невский,851,2012-08-15,"30,7",690C7C04-9545-4B85-B16B-F89ECD9426F1
4 этап (утверждение документации ППТ),"Территория, ограниченная Бестужевской ул., Екатерининским пр, пр. Маршала Блюхера, Пискаревским пр.",Красногвардейский,216,2015-02-24,"45,6",198123D3-4C80-488A-B69C-F8B9FC039039
4 этап (утверждение документации ППТ),"Территория, ограниченная наб. Реки Б.Нева, продолжением Цимлянской ул., Большеохтинским пр., ул. Шаумяна и ул. Помяловского, с примыкающей территорией ул.Якорной и участка,ограниченного пр.Энергетиков,ж/д,ул.Якорной,границей функциональной зоны «П1» (Охта-Центр)",Красногвардейский,367,2009-03-31,"59,2",CF8E95A2-19C7-4B15-8008-F960FF85D137
4 этап (утверждение документации ППТ),"Территория, ограниченная Северным проездом, Центральным проездом, дорогой в Металлострой, в пос. Металлострой (промзона «Металлострой»)",Колпинский,126,2009-02-03,"106,3",B473C13B-AF8C-469E-91C3-FAFB6C342E52
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Кораблестройтелей, проектным продолжением Новосмоленской наб. И рекой Смоленкой",Василеостровский,1224,2010-09-13,"4,6",CCEA52C1-1D0A-4076-A35B-FAFE4C98EC55
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Тамбасова, пр. Ветеранов, ул. Пограничника Гарькавого, Новобелицкой ул.,",Красносельский,524,2014-06-23,"42,2",7BFBBD7D-4B9F-445B-AFF9-FB059F379B3E
4 этап (утверждение документации ППТ),"Квартал, ограниченный ул. Дыбенко, пр. Большевиков, ул. Шотмана и Искровским пр.",Невский,1196,2007-09-18,"44,6",5E30ECA3-4CD1-43EA-AA57-FB0BFEB8D0A5
4 этап (утверждение документации ППТ),"Территория, ограниченная с юга - Граничной ул.,с запада - проектируемой магистралью, с севера - границей Курортного района СПб, с востока - границей заказника «Юнтоловский»",Приморский,288,2009-03-17,"483,1",20FEB7D9-7D14-4E0D-B191-FB340684067F
4 этап (утверждение документации ППТ),"Квартал 9В район БКА , ограниченный ул. Королева, Коломяжским пр., аллеей Котельникова и Серебристым бульваром",Приморский,780,2006-06-26,"16,5",A720D1DC-D6CD-4D0E-9FFF-FB3F810BB339
4 этап (утверждение документации ППТ),"Изменения в ППиПМ территории, ограниченной Пионерской ул., наб. Адмирала Лазарева, М. Зелениной ул., Петергофской ул., в Петроградском районе, утвержденный постановлением Правительства Санкт-Петербурга от 15.04.2010 № 373",Петроградский,1074,2017-12-19,"3,5",9CF5333C-FFAC-4C65-AA90-FB487F6E6D7E
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Крылова, Санкт-Петербургским шоссе, ручьем без названия и береговой линией Финского залива",Петродворцовый,505,2010-04-27,"115,8",60689287-5A09-42D9-BE18-FB7506A41AE1
4 этап (утверждение документации ППТ),"Территория, ограниченная Мебельной ул., проектируемым проездом, проектируемым продолжением Стародеревенской ул., проектируемым проездом, Планерной ул.",Приморский,1294,2009-11-11,"18,1",8632A250-B4F1-4529-9767-FB8867A944A9
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Салова, Бухарестской ул. И проектируемыми проездами",Фрунзенский,751,2009-06-23,"16,7",AF34A6D2-C663-41E8-86C3-FB89F9182696
4 этап (утверждение документации ППТ),"Квартал 9А района Севернее улицы Новоселов (СУН), ограниченный ул. Коллонтай, ул. Белышева, ул. Подвойского, межквартальным проездом",Невский,928,2009-08-04,"23,9",3742C4F7-69E8-4E14-9051-FBC49C1FBC8D
4 этап (утверждение документации ППТ),"Территория, ограниченная Загородной ул., Колпинской ул., ул. Севастьянова, проектируемым проездом в г. Колпино",Колпинский,856,2014-09-09,53,A753D3E7-D5C8-485D-978E-FC97D63F47C6
4 этап (утверждение документации ППТ),"Территория, ограниченная Малым пр. Васильевского острова, ул. Беринга, проектируемой улицей, Средним пр. Васильевского острова, ул. Шевченко, в Василеостровском районе",Василеостровский,807,2016-09-27,"12,1",124EF7BB-FD44-45EF-91B0-FCE7751E4FA1
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «ВЛ 330 кВ Ленинградская АЭС-2 - ПС Пулковская - ПС Южная»,None,1268,2016-11-29,"239,9",04DCC1E9-F674-4238-ACC9-FD97EDDF33C3
4 этап (утверждение документации ППТ),"Территория, ограниченная Большим пр. Васильевского острова, Детской ул., Среднегаванским пр., 28-й линией, проездом от 28-й линии до пл. Собчака, пл. Собчака, 27-й линией Васильевского острова",Василеостровский,511,2010-04-27,"7,5",5E00A8A1-EAE5-4E89-AE1B-FE1F7C65674A
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Олеко Дундича, Купчинской ул., Малой Балканскойул.,",Фрунзенский,322,2014-04-29,"19,8",098C42C9-5549-48F1-BF6E-FE475A4FDA97
4 этап (утверждение документации ППТ),"Территория, ограниченная продолжением Каугиевской ул., перспективной магистралью № 2, Левашовским шоссе, перспективной магистралью № 1",Курортный,862,2010-06-29,"16,2",01B9152A-AE98-40FE-B3ED-FE4D2BBCD526
4 этап (утверждение документации ППТ),"Территория, ограниченная проектируемой магистралью 1, береговой линией р. Невы, границей базисного квартала 7231Б, Шлиссельбургским шоссе, Советским пр., проектируемой магистралью 3, проектируемой магистралью 2, береговой линией р. Славянки, в Невском районе",Невский,992,2018-12-25,161,0F3666A7-9D8D-4AE6-8604-FEB3585022E4
4 этап (утверждение документации ППТ),"Квартал 36-Б района оз. Долгое, ограниченный ул. Оптиков, ул. Стародеревенской, ул. Ситцевой, технической зоной со стороны Торфяной дороги",Приморский,228,2009-02-24,6,8402E734-DBC3-4403-B3FF-FF37D0F5CDB3
4 этап (утверждение документации ППТ),"Территория, ограниченная Крестовским пр., Спортивной ул., пр. Динамо, Петроградской ул.",Петроградский,43,2011-01-18,"2,9",420825C6-CAC8-4937-A1F2-FF3C74827663
4 этап (утверждение документации ППТ),"Территория, ограниченная Шлиссельбургским ш., Лагерным ш., проектируемыми проездами, ул. Судостроителей, границей п/з «Понтонная, в Колпинском районе",Колпинский,528,2017-06-27,"46,7",6D35CED9-BF5F-4A79-8737-FF7E37EF7FC4
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Ивана Черных, проектируемой магистралью,ул. Маршала Говорова, ул. Метростроевцев, Молодежным пер.",Кировский,1336,2011-09-13,"5,4",8BD7F6DF-1760-44AA-AF70-FF9772AEB936
4 этап (утверждение документации ППТ),"Территория, ограниченная Сердобольской ул., Студенческой ул., Белоостровской ул., Земледельческой ул. И проектируемым проездом от Земледельческой ул. До Сердобольской ул.",Приморский,929,2009-08-04,"35,9",3F7E71C4-1E4F-4DD4-8C75-FF97DD03D857
4 этап (утверждение документации ППТ),"Территория, ограниченная полосой отвода железной дороги, северо-западной административной границей муниципального образования пос. Комарово, береговой линией Щучьего озера, береговой линией Щучьего ручья, административной границей СПб, юго-восточной границей пос. Комарово, ул. Валиева, Саперной ул., утвержденный постановлением Правительства СПб от 07.12.2010 №1670, в части территории квартала 33, ограниченной Косой ул., 1-ой Дачной ул., 3-ей аллеей, 2-й Дачной ул.",Курортный,328,2019-05-24,"3,7",4AA15F65-275E-45E6-927A-FFB7A6898577
4 этап (утверждение документации ППТ),"Территория квартала 10 г. Колпино, ограниченного пр. Ленина. Ул.Губина, Павловской ул., ул.Танкистов",Колпинский,1007,2011-07-13,"10,7",AF37AAD1-7B8A-450B-B824-FFD57D3DDAB2
